LND_SQFOOT,TOT_LVG_AREA,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,avno60plus,structure_quality,SALE_PRC_log,SPEC_FEAT_VAL_log,age_group_0-10,age_group_11-20,age_group_21-50,age_group_51+,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,avg_price_per_zone_log
0.07169987100472983,0.012700165654334628,0.019891256627604603,0.3562300023308542,0.06640899368648288,0.1316732724563227,0.21013374155521536,0.028859893795590834,0,2,11.918,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,12.582
0.038555252974057624,0.024664089821461455,0.058096653270743974,0.3247038755747675,0.012702431358854599,0.1486658098032096,0.23445655461953782,0.08941055096917244,0,1,11.813,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12.582
0.03475705890784005,0.04012516105282535,0.05735030900678802,0.3245423050028607,0.019244123984618985,0.14655182903204528,0.23143064047446626,0.08922127166572026,0,1,11.736,6.746,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.582
0.055575462233051445,0.06313270752806921,0.06850494748573165,0.3288053842730914,0.025942563264139937,0.14402734790513536,0.22781714348571375,0.08197665832589736,0,4,11.849,7.678,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12.582
0.05647126272036691,0.03184244432173755,0.020029718685623584,0.336579312609921,0.06407366695899587,0.13119809107728486,0.20945357545535379,0.059360901551882284,0,2,11.797,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12.582
0.06537551956428264,0.0894533406957482,0.049869980750396815,0.33384188333015496,0.0900162302231358,0.11720137379931851,0.18941892548422876,0.06068377668370179,0,2,12.101,7.091,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.582
0.09857388562419378,0.026136572795877056,0.03422376819425214,0.3281630750323142,0.07689514640931114,0.11982255625808115,0.1931708390243008,0.0702975013051952,0,1,11.411,7.672,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.582
0.10663609001003295,0.04711945518129948,0.06139272567626895,0.3395074481384952,0.10108770272897909,0.11493753798409105,0.18617851151790707,0.051400770845163285,0,2,12.231,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.582
0.07761215422101189,0.1798269832505062,0.08570801391374827,0.3467622316869028,0.11935563236362048,0.11085174661177107,0.1803301830581808,0.03862545785831508,0,2,11.983,7.433,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12.582
0.14812956858248533,0.04288606662985461,0.07376988281381919,0.34534650265929273,0.11323656046254152,0.11239320426587361,0.18253659788616844,0.04153536714984888,0,1,11.695,6.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.582
